"Customer","FamilyMembers","Lifestage","Model","rocauc"
"26589462","(1, 2)","ActiveAdults","Baseline",0.736238532110092
"26589534","(1, 2)","ActiveAdults","Baseline",0.653831982313928
"26600478","(1, 2)","ActiveAdults","Baseline",0.758677685950413
"26601946","(3, 8)","ActiveAdults","Baseline",0.702682926829268
"26618701","(3, 8)","ActiveAdults","Baseline",0.676767676767677
"29276526","(3, 8)","FamilyWithKids","Baseline",0.752073170731707
"29284158","(3, 8)","ActiveAdults","Baseline",0.656963890935888
"29304039","(3, 8)","ActiveAdults","Baseline",0.711034482758621
"29313565","(1, 2)","FamilyWithKids","Baseline",0.618692660550459
"29321769","(1, 2)","FamilyWithKids","Baseline",0.546875
"29337923","(3, 8)","ActiveAdults","Baseline",0.5
"29347236","(3, 8)","FamilyWithKids","Baseline",0.57627817482133
"29365545","(1, 2)","FamilyWithKids","Baseline",0.75975
"29380088","(3, 8)","FamilyWithKids","Baseline",0.736645299145299
"29406267","(3, 8)","ActiveAdults","Baseline",0.580228365384615
"29416697","(3, 8)","FamilyWithKids","Baseline",0.779655172413793
"29430523","(1, 2)","FamilyWithKids","Baseline",0
"29453248","(3, 8)","FamilyWithKids","Baseline",0.556790865384615
"29468396","(1, 2)","ActiveAdults","Baseline",0.585
"29468484","(3, 8)","ActiveAdults","Baseline",0.58485401459854
"29480655","(1, 2)","FamilyWithKids","Baseline",0.710470085470085
"34567526","(1, 2)","ActiveAdults","Baseline",0.591071428571429
"34571275","(3, 8)","ActiveAdults","Baseline",0.592857142857143
"34586076","(1, 2)","ActiveAdults","Baseline",0.825174825174825
"34586106","(1, 2)","FamilyWithKids","Baseline",0.812956204379562
"34610793","(1, 2)","ActiveAdults","Baseline",0.72869708631116
"34614938","(1, 2)","ActiveAdults","Baseline",0.577099236641221
"34640970","(1, 2)","ActiveAdults","Baseline",0.759358288770053
"34641300","(1, 2)","FamilyWithKids","Baseline",0.677884615384615
"34725020","(3, 8)","FamilyWithKids","Baseline",0.659420289855073
"34732848","(3, 8)","ActiveAdults","Baseline",0.583155650319829
"34761632","(1, 2)","FamilyWithKids","Baseline",0.657789408866995
"34764938","(3, 8)","FamilyWithKids","Baseline",0.743380541871921
"34765018","(3, 8)","FamilyWithKids","Baseline",0.674671977507029
"34775748","(1, 2)","ActiveAdults","Baseline",0.53006993006993
"34800212","(3, 8)","FamilyWithKids","Baseline",0.757184966838614
"34811172","(1, 2)","FamilyWithKids","Baseline",0.474820143884892
