"Customer","FamilyMembers","Lifestage","Model","f1"
"18970164","(3, 8)","FamilyWithKids","Baseline",0.521739130434783
"18974058","(3, 8)","FamilyWithKids","Baseline",0.476190476190476
"18979272","(3, 8)","ActiveAdults","Baseline",0.52
"19000317","(3, 8)","FamilyWithKids","Baseline",0.266666666666667
"19006325","(3, 8)","FamilyWithKids","Baseline",0.432432432432432
"19031006","(1, 2)","ActiveAdults","Baseline",0.31578947368421
"19063947","(3, 8)","ActiveAdults","Baseline",0.518518518518519
"19065018","(1, 2)","ActiveAdults","Baseline",0.4
"19081325","(3, 8)","FamilyWithKids","Baseline",0
"19111769","(3, 8)","ActiveAdults","Baseline",0.222222222222222
"19113568","(1, 2)","FamilyWithKids","Baseline",0
"19143595","(1, 2)","FamilyWithKids","Baseline",0.6
"19185625","(1, 2)","FamilyWithKids","Baseline",0.8
"19190685","(1, 2)","FamilyWithKids","Baseline",0
"19204079","(3, 8)","ActiveAdults","Baseline",0
"19210009","(3, 8)","FamilyWithKids","Baseline",0.347826086956522
"19211739","(3, 8)","ActiveAdults","Baseline",0.755102040816327
"19228548","(3, 8)","FamilyWithKids","Baseline",0.466666666666667
"19230069","(1, 2)","ActiveAdults","Baseline",0.193548387096774
"19243178","(3, 8)","FamilyWithKids","Baseline",0
"19262813","(1, 2)","ActiveAdults","Baseline",0.166666666666667
"19274514","(3, 8)","FamilyWithKids","Baseline",0.054054054054054
"19286793","(3, 8)","FamilyWithKids","Baseline",0.173913043478261
"19317441","(3, 8)","FamilyWithKids","Baseline",0.632911392405063
"19337241","(3, 8)","FamilyWithKids","Baseline",0.648648648648649
"19341334","(1, 2)","ActiveAdults","Baseline",0
"19342043","(3, 8)","FamilyWithKids","Baseline",0.355555555555556
"19342312","(1, 2)","FamilyWithKids","Baseline",0.682352941176471
"19361406","(3, 8)","FamilyWithKids","Baseline",0.35
"19383196","(1, 2)","ActiveAdults","Baseline",0.375
"19394771","(1, 2)","FamilyWithKids","Baseline",0.296296296296296
"19398541","(1, 2)","ActiveAdults","Baseline",0
"19437256","(3, 8)","ActiveAdults","Baseline",0.457142857142857
"19441686","(3, 8)","FamilyWithKids","Baseline",0
"19454531","(3, 8)","ActiveAdults","Baseline",0
"19480086","(3, 8)","FamilyWithKids","Baseline",0.476190476190476
"19489701","(3, 8)","ActiveAdults","Baseline",0.576271186440678
"19514535","(1, 2)","FamilyWithKids","Baseline",0.571428571428571
"19523710","(3, 8)","FamilyWithKids","Baseline",0.588235294117647
"19529623","(3, 8)","FamilyWithKids","Baseline",0.4
"19546916","(3, 8)","FamilyWithKids","Baseline",0.217391304347826
"19572027","(3, 8)","FamilyWithKids","Baseline",0.366666666666667
"19575323","(1, 2)","ActiveAdults","Baseline",0.301369863013699
"19575511","(1, 2)","FamilyWithKids","Baseline",0.294117647058824
"19582754","(3, 8)","ActiveAdults","Baseline",0.228571428571429
"19586197","(3, 8)","ActiveAdults","Baseline",0.588235294117647
"19589390","(3, 8)","FamilyWithKids","Baseline",0.3
"19593919","(3, 8)","ActiveAdults","Baseline",0.478260869565217
"19595267","(3, 8)","ActiveAdults","Baseline",0.2
"19620636","(3, 8)","ActiveAdults","Baseline",0.507936507936508
"19633437","(3, 8)","FamilyWithKids","Baseline",0.464285714285714
"19635030","(3, 8)","ActiveAdults","Baseline",0.4
"25527026","(3, 8)","FamilyWithKids","Baseline",0.64935064935065
"25616425","(1, 2)","FamilyWithKids","Baseline",0.666666666666667
"25624350","(3, 8)","FamilyWithKids","Baseline",0.25531914893617
"25797019","(3, 8)","ActiveAdults","Baseline",0.571428571428572
"25819293","(1, 2)","FamilyWithKids","Baseline",0.125
"25879492","(1, 2)","FamilyWithKids","Baseline",0.384615384615385
"25900167","(1, 2)","FamilyWithKids","Baseline",0
"26252886","(1, 2)","ActiveAdults","Baseline",0.222222222222222
"26253630","(3, 8)","ActiveAdults","Baseline",0.444444444444444
"26258025","(3, 8)","ActiveAdults","Baseline",0.133333333333333
"26269376","(3, 8)","ActiveAdults","Baseline",0.56
"26269953","(1, 2)","FamilyWithKids","Baseline",0.227272727272727
"26296755","(1, 2)","ActiveAdults","Baseline",0.285714285714286
"26305411","(1, 2)","FamilyWithKids","Baseline",0.166666666666667
"26306475","(3, 8)","ActiveAdults","Baseline",0.390243902439024
"26322109","(3, 8)","FamilyWithKids","Baseline",0.642857142857143
"26344568","(3, 8)","ActiveAdults","Baseline",0.296296296296296
"26346002","(3, 8)","FamilyWithKids","Baseline",0.5
"26364901","(1, 2)","ActiveAdults","Baseline",0.384615384615385
"26378476","(1, 2)","FamilyWithKids","Baseline",0.481481481481482
"26387868","(1, 2)","FamilyWithKids","Baseline",0.232558139534884
"26390959","(1, 2)","FamilyWithKids","Baseline",0.578947368421053
"26400080","(1, 2)","FamilyWithKids","Baseline",0.444444444444444
"26400246","(1, 2)","FamilyWithKids","Baseline",0
