CUSTOMER_ACCOUNT_NR_MASK,Baseline,RandomForest,GENDER,FAMILY_MEMBERS,SEG_LIFESTYLE_CD,SEG_LIFESTAGE_CD
3700492.0,0.0,0.32786885245901637,F,"(3, 8)",2,4
4081943.0,0.35000000000000003,0.29508196721311475,M,"(3, 8)",2,5
4092679.0,0.25925925925925924,0.7169811320754716,F,"(3, 8)",2,4
4095466.0,0.4347826086956521,0.6,F,"(3, 8)",1,5
4210887.0,0.0,0.40816326530612246,F,"(1, 2)",1,4
4252015.0,0.4615384615384615,0.5000000000000001,M,"(1, 2)",2,5
4360222.0,0.2857142857142857,0.3404255319148936,F,"(3, 8)",1,4
4458410.0,0.5357142857142857,0.4,F,"(3, 8)",3,4
4502544.0,0.5,0.5833333333333334,F,"(3, 8)",2,4
4688795.0,0.52,0.5428571428571428,F,"(3, 8)",1,5
4820245.0,0.5925925925925926,0.6666666666666667,F,"(3, 8)",2,4
5055905.0,0.5428571428571429,0.4770642201834863,F,"(3, 8)",2,4
5070212.0,0.6,0.5185185185185185,F,"(1, 2)",1,4
5079193.0,0.3333333333333333,0.2702702702702703,F,"(3, 8)",2,4
5090378.0,0.33333333333333337,0.5,F,"(3, 8)",2,5
5230429.0,0.7272727272727272,0.7000000000000001,M,"(3, 8)",2,4
5349257.0,0.5333333333333333,0.6666666666666665,M,"(3, 8)",2,5
5486230.0,0.4210526315789474,0.5555555555555557,F,"(3, 8)",1,5
5518229.0,0.3404255319148936,0.2716049382716049,F,"(1, 2)",2,4
5828081.0,0.29629629629629634,0.26666666666666666,F,"(3, 8)",1,4
5834654.0,0.4067796610169492,0.5840707964601769,F,"(3, 8)",2,4
5837307.0,0.1111111111111111,0.45454545454545453,F,"(3, 8)",2,5
5900481.0,0.46875,0.5599999999999999,F,"(1, 2)",1,4
5926514.0,0.56,0.4333333333333334,M,"(1, 2)",1,5
5932760.0,0.0,0.46376811594202894,F,"(3, 8)",1,5
5962226.0,0.08333333333333334,0.2894736842105263,F,"(1, 2)",1,4
6164386.0,0.5714285714285714,0.5148514851485149,F,"(1, 2)",2,4
6227527.0,0.0,0.27118644067796605,M,"(3, 8)",1,5
6244357.0,0.4347826086956522,0.3461538461538461,F,"(3, 8)",2,4
6347907.0,0.38461538461538464,0.40909090909090906,F,"(3, 8)",3,4
6554495.0,0.64,0.6464646464646465,F,"(3, 8)",2,5
6589303.0,0.28571428571428564,0.4102564102564102,M,"(3, 8)",1,4
6625496.0,0.0,0.14285714285714288,F,"(3, 8)",1,4
6645683.0,0.39999999999999997,0.48484848484848486,F,"(1, 2)",2,5
6867147.0,0.32,0.4,F,"(3, 8)",2,4
6946384.0,0.6268656716417911,0.6727272727272727,M,"(1, 2)",3,4
7117945.0,0.16,0.09090909090909091,M,"(3, 8)",2,5
7125823.0,0.37499999999999994,0.4242424242424243,F,"(1, 2)",1,4
7152560.0,0.5161290322580646,0.5846153846153846,M,"(1, 2)",1,4
7193509.0,0.5217391304347826,0.5391304347826087,M,"(3, 8)",1,4
7248545.0,0.39999999999999997,0.19999999999999998,F,"(3, 8)",1,5
7395471.0,0.32000000000000006,0.48275862068965514,F,"(3, 8)",2,4
7754367.0,0.3478260869565218,0.5569620253164557,F,"(1, 2)",1,5
7774258.0,0.29411764705882354,0.3050847457627119,F,"(3, 8)",1,5
7923839.0,0.5,0.4727272727272727,M,"(1, 2)",1,5
7943400.0,0.47058823529411764,0.5252525252525253,F,"(3, 8)",2,4
7954243.0,0.6666666666666666,0.5897435897435898,F,"(3, 8)",2,5
8063255.0,0.22222222222222224,0.3076923076923077,M,"(1, 2)",1,5
8128139.0,0.4918032786885246,0.5684210526315789,F,"(1, 2)",1,4
8233719.0,0.1111111111111111,0.08955223880597014,F,"(3, 8)",2,4
8406386.0,0.4117647058823529,0.34374999999999994,F,"(1, 2)",1,4
8587555.0,0.2439024390243902,0.26315789473684215,F,"(3, 8)",2,4
8607458.0,0.23529411764705882,0.22535211267605634,F,"(3, 8)",2,4
8615531.0,0.08333333333333334,0.2531645569620253,F,"(1, 2)",2,4
8736972.0,0.5,0.41379310344827586,M,"(1, 2)",1,4
9007266.0,0.4680851063829787,0.5858585858585859,F,"(3, 8)",3,4
9059566.0,0.2,0.39999999999999997,F,"(3, 8)",1,4
9139989.0,0.4888888888888889,0.4507042253521127,F,"(3, 8)",1,4
9155436.0,0.0,0.21621621621621623,F,"(3, 8)",2,4
9274130.0,0.33333333333333326,0.2962962962962963,M,"(3, 8)",2,4
9279821.0,0.64,0.5526315789473685,F,"(3, 8)",3,5
9298060.0,0.5797101449275361,0.631578947368421,F,"(3, 8)",1,5
9303140.0,0.4888888888888889,0.4556962025316456,F,"(1, 2)",1,5
9335132.0,0.375,0.48192771084337344,M,"(1, 2)",2,4
9354586.0,0.21052631578947367,0.5217391304347827,M,"(3, 8)",2,4
9482519.0,0.5555555555555556,0.43589743589743585,F,"(1, 2)",2,4
9493177.0,0.6666666666666667,0.6862745098039216,F,"(3, 8)",1,4
9529316.0,0.5294117647058824,0.5689655172413792,F,"(1, 2)",1,5
9574087.0,0.30000000000000004,0.6206896551724138,F,"(3, 8)",2,4
9749751.0,0.6206896551724138,0.6153846153846153,F,"(1, 2)",3,4
9758155.0,0.5245901639344263,0.5617977528089888,M,"(3, 8)",2,5
9805405.0,0.33333333333333337,0.5,F,"(1, 2)",1,5
9832521.0,0.42424242424242425,0.5483870967741936,F,"(1, 2)",2,5
9842261.0,0.4242424242424242,0.631578947368421,F,"(3, 8)",2,4
10105631.0,0.22857142857142854,0.27586206896551724,M,"(1, 2)",1,4
10139080.0,0.36363636363636365,0.4927536231884058,F,"(3, 8)",1,4
10257405.0,0.3636363636363636,0.2985074626865672,M,"(3, 8)",3,5
10532324.0,0.3157894736842105,0.2553191489361702,F,"(3, 8)",3,4
10640319.0,0.28169014084507044,0.7258064516129032,M,"(1, 2)",1,5
10801631.0,0.19047619047619044,0.35616438356164387,F,"(3, 8)",1,5
10894040.0,0.5,0.3389830508474576,F,"(1, 2)",1,5
10894888.0,0.27272727272727276,0.6236559139784947,F,"(3, 8)",1,5
10900743.0,0.2,0.11764705882352942,M,"(1, 2)",3,5
10911303.0,0.6516853932584269,0.7500000000000001,F,"(3, 8)",2,4
10925652.0,0.3243243243243243,0.3764705882352941,F,"(3, 8)",1,5
11172871.0,0.46511627906976744,0.40579710144927533,F,"(3, 8)",2,4
11257237.0,0.6813186813186812,0.7666666666666666,M,"(1, 2)",3,5
11627871.0,0.26666666666666666,0.40625,F,"(3, 8)",2,4
11729338.0,0.5833333333333334,0.5217391304347826,F,"(3, 8)",3,4
11779601.0,0.4857142857142857,0.5714285714285714,F,"(3, 8)",1,4
11852324.0,0.4761904761904762,0.41666666666666663,F,"(3, 8)",1,5
11912555.0,0.2926829268292683,0.45454545454545453,F,"(1, 2)",1,4
12078622.0,0.5098039215686275,0.41860465116279066,F,"(1, 2)",2,4
12120644.0,0.6464646464646465,0.6870229007633587,F,"(1, 2)",1,4
12167956.0,0.5925925925925927,0.575,M,"(3, 8)",1,5
12177802.0,0.4727272727272727,0.5102040816326532,F,"(1, 2)",1,5
12223508.0,0.41379310344827586,0.6597938144329897,F,"(3, 8)",2,4
12237973.0,0.5660377358490566,0.46753246753246747,F,"(3, 8)",1,5
12257542.0,0.0,0.25806451612903225,F,"(3, 8)",1,4
12276650.0,0.5161290322580646,0.4571428571428572,F,"(3, 8)",3,5
12504304.0,0.2222222222222222,0.13333333333333333,F,"(1, 2)",2,5
12515785.0,0.619718309859155,0.6511627906976744,F,"(3, 8)",3,4
12845306.0,0.35294117647058826,0.4444444444444444,F,"(3, 8)",2,4
12871209.0,0.34146341463414637,0.4415584415584415,F,"(3, 8)",1,4
12962537.0,0.35714285714285715,0.34615384615384615,M,"(1, 2)",2,5
12980036.0,0.4489795918367347,0.4507042253521127,M,"(3, 8)",3,5
12980061.0,0.08333333333333333,0.5499999999999999,M,"(1, 2)",3,4
13025896.0,0.41025641025641024,0.5,M,"(3, 8)",1,5
