CUSTOMER_ACCOUNT_NR_MASK,SUBCAT_CD_EXT,PROBABILITIES
95566,140304,
95566,100102,
95566,170305,
131973,80408,
131973,170310,
131973,20301,
131973,30306,
131973,80401,
132280,80408,
132280,100102,
132280,140301,
132280,50202,
132280,170309,
132280,80404,
132280,170307,
132280,80409,
132280,80404,
132280,30208,
132280,80401,
132280,140302,
132280,70201,
132280,10303,
132280,170303,
132280,140301,
132280,80403,
132280,80407,
132280,50203,
132280,50202,
153110,100101,
153110,80411,
153110,10305,
153110,80406,
153110,50201,
153110,80411,
153110,100102,
153110,10303,
153110,80403,
153110,80402,
153110,20301,
153110,10305,
153110,170303,
153110,80413,
153110,80404,
153110,80405,
153110,30208,
153110,20301,
153110,170301,
153110,170309,
157087,140301,
157087,20204,
157087,80406,
157087,70206,
157087,170302,
157087,140302,
157087,170303,
157087,10303,
157087,80404,
157087,70205,
157087,80408,
157087,20301,
157087,170310,
157087,80407,
157087,170301,
157087,80404,
157087,10302,
157087,140301,
157087,70206,
157087,80414,
158797,100101,
158797,80403,
158797,170313,
158797,20301,
158797,20301,
158797,70206,
158797,10301,
158797,50202,
158797,80414,
158797,20301,
158797,80401,
158797,10302,
158797,80411,
158797,10301,
158797,100102,
158797,20302,
158797,170304,
158797,10303,
158797,70203,
158797,170305,
173679,10303,
173679,80406,
173679,80414,
173679,80402,
173679,50202,
173679,70205,
173679,170309,
173679,80414,
173679,170301,
173679,170313,
173679,100102,
173679,80414,
173679,20303,
173679,80405,
173679,170305,
173679,50202,
173679,50201,
173679,170313,
173679,140302,
173679,10302,
177299,100101,
177299,70206,
177299,80408,
177299,100101,
177299,80402,
177299,20303,
177299,140304,
177299,80406,
177299,10301,
177299,20302,
177299,170309,
177299,170305,
177299,80407,
177299,80406,
177299,170303,
177299,170301,
177299,50201,
177299,170307,
177299,70206,
177299,80408,
179359,80102,
179359,70204,
179359,170302,
179359,20303,
179359,70203,
179359,170307,
179359,170301,
179359,170105,
179359,80411,
179359,70206,
179359,80406,
179359,70202,
179359,10301,
179359,80408,
179359,80411,
179359,140303,
179359,10303,
179359,170304,
179359,80408,
179359,50404,
183933,80413,
183933,170303,
183933,10303,
183933,70205,
183933,170112,
183933,170309,
183933,140304,
183933,170304,
183933,10301,
183933,80401,
183933,80409,
183933,80401,
